spp;local;site;ind;latitude;longitude;sampler;collaborator;fixation;month;year;TL_mm;SL_mm;weight_g;intestine_mm;QI;mean_temp;mouth_volume;fullness;ni_algae;bivalve;ceramiales;cladophorales;copepoda;corallinales;dictyotales;ectocarpales;eggs;fish_scale;gastropoda;gelidiales;hexacorallia;insect;sediment;polychaeta;ulvales;plastic;organic_detritus;total
ophioblennius_trinitatis;spspa;enseada;13;0,917042;-29,345565;lucas_nunes;alana_fraga;formaldehyde;october;2015;74;56;na;102;1,37838;27,8;na;2;0;0,7;0;0;0,1;0;0;1,3;0;0;0;0;0;0;0;0;0;0;3;5,1
ophioblennius_trinitatis;spspa;enseada;14;0,917042;-29,345565;lucas_nunes;na;formaldehyde;october;2015;65;52;na;195;3;27,8;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
ophioblennius_trinitatis;spspa;enseada;15;0,917042;-29,345565;lucas_nunes;alana_fraga;formaldehyde;october;2015;94;74;na;215;2,28723;27,8;na;1;0;0,3;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0,2;0;0;19;20
ophioblennius_trinitatis;spspa;enseada;16;0,917042;-29,345565;lucas_nunes;na;formaldehyde;october;2015;59;45;na;100;1,69492;27,8;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
ophioblennius_trinitatis;spspa;enseada;17;0,917042;-29,345565;lucas_nunes;na;formaldehyde;october;2015;84;64;na;208;2,47619;27,8;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
ophioblennius_trinitatis;spspa;enseada;18;0,917042;-29,345565;lucas_nunes;na;formaldehyde;october;2015;86;66;na;224;2,60465;27,8;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
ophioblennius_trinitatis;spspa;enseada;19;0,917042;-29,345565;lucas_nunes;alana_fraga;formaldehyde;october;2015;92;74;na;232;2,52174;27,8;na;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4
ophioblennius_trinitatis;spspa;enseada;20;0,917042;-29,345565;lucas_nunes;alana_fraga;formaldehyde;october;2015;95;74;na;310;3,26316;27,8;na;2;0;0;0;0;0,08;0;0;0,8;0;0;0,4;0;0,3;0;0;0;0;0,1;56;57,68
ophioblennius_trinitatis;spspa;enseada;21;0,917042;-29,345565;lucas_nunes;alana_fraga;formaldehyde;october;2015;60;44;na;na;na;27,8;na;1;0;0;0;0;0,1;0,02;0;0;0;0;0;0;0;0;0;0;0;0,04;20,3;20,46
ophioblennius_sp1;sc;pantano_do_sul;500;-27,786395;-48,507818;lucas_nunes;alana_fraga;formaldehyde;june;2015;110,5;na;19,2;na;na;24,1;na;4;0;8;0;0;2;2;0;0;0;0;0,3;0;2;0;8;1;0;0;86;109,3
ophioblennius_sp1;sc;pantano_do_sul;501;-27,786395;-48,507818;lucas_nunes;alana_fraga;formaldehyde;june;2015;103,8;na;13,17;na;na;24,1;na;4;0;21;0;0;12;0;164;0;0;0;0;0;2;0;0;0;0;0;70;269
ophioblennius_sp1;sc;pantano_do_sul;502;-27,786395;-48,507818;lucas_nunes;alana_fraga;formaldehyde;june;2015;160;127;42,6;460;2,875;24,1;208;1;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;74;79
ophioblennius_sp1;sc;pantano_do_sul;503;-27,786395;-48,507818;lucas_nunes;alana_fraga;formaldehyde;june;2015;159;128,8;41;472;2,96855;24,1;223;3;0;0;5;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0,02;303;310,02
